League,Season,Team,xG,xGA,xPTS,Press,Press_Succ,Press%,P_Def_3rd,P_Mid_3rd,P_Att_3rd,Poss,Touches,T_Def_3rd,T_Mid_3rd,T_Att_3rd,T_Att_Pen,Drib_Succ,Drib_Att,DribSucc%,#Players_Dribbled,Megs,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_TotDist,Pass_PrgDist
La Liga,18-19,Athletic Club,44.44,47.16,50.01,5861,1531,26.1,1720,2781,1360,50.1,21741,6468,10878,5660,776,337,601,56.1,363,17,13267,17393,76.3,271102,100295
La Liga,18-19,Atlético Madrid,51.87,41.43,59.43,6995,1814,25.9,2216,3295,1484,49.4,23298,6545,11445,6717,901,460,693,66.4,481,14,15143,19034,79.6,276009,98528
La Liga,18-19,Barcelona,83.28,44.93,73.96,6225,1796,28.9,1647,2961,1617,64.2,30827,7917,15807,9151,1197,578,912,63.4,613,36,23464,26734,87.8,421072,125653
La Liga,18-19,Betis,51.68,53.54,52.39,5208,1385,26.6,1751,2310,1147,61.7,26963,8172,13566,7121,960,495,793,62.4,538,34,19506,22819,85.5,366265,110101
La Liga,18-19,Celta Vigo,48.7,63.43,41.63,6596,1717,26,2289,3010,1297,51.7,23086,7384,11775,5318,753,475,739,64.3,509,13,15122,18785,80.5,294087,99004
La Liga,18-19,Eibar,56.63,47.88,56.75,6080,1906,31.3,1423,2762,1895,54.1,22712,5109,11445,7419,1026,432,686,63,466,37,13129,18279,71.8,283897,103336
La Liga,18-19,Espanyol,50.16,54.62,50.09,6186,1433,23.2,2102,2845,1239,49.5,22149,7812,10516,5234,805,396,594,66.7,427,17,13998,17703,79.1,280592,99487
La Liga,18-19,Getafe,47.03,44.23,53.19,7141,1861,26.1,2011,3599,1531,40.8,17424,5116,8158,5009,767,343,588,58.3,367,18,8284,12926,64.1,181896,83087
La Liga,18-19,Girona,42.99,55.33,45.17,6240,1516,24.3,2063,2961,1216,48,21532,7904,10424,4554,710,357,609,58.6,398,9,13258,17104,77.5,276484,96684
La Liga,18-19,Huesca,51.38,63.43,44.96,6264,1617,25.8,2076,3023,1165,44.7,19382,6336,9324,4890,802,398,655,60.8,426,18,10778,14817,72.7,218839,88242
La Liga,18-19,Leganés,41.25,43.94,51.15,6369,1508,23.7,2196,2848,1325,42.8,19246,6238,9352,4707,707,322,550,58.5,352,19,10787,15033,71.8,224396,88505
La Liga,18-19,Levante,54.09,78.86,40.23,5943,1404,23.6,2007,2712,1224,45.6,19154,6547,8919,4957,781,456,761,59.9,490,21,10953,14737,74.3,215012,85727
La Liga,18-19,Rayo Vallecano,47.23,62.32,43.02,5742,1520,26.5,2144,2605,993,48.7,20898,7382,9958,5013,697,576,897,64.2,624,23,12606,16257,77.5,251724,92793
La Liga,18-19,Real Madrid,68.65,48.68,64.77,5700,1505,26.4,1538,2732,1430,60,28248,7697,14485,7812,1217,493,772,63.9,518,25,20684,24065,86,386680,117086
La Liga,18-19,Real Sociedad,47.99,48.09,51.13,6432,1631,25.4,1987,3054,1391,51.6,23020,8139,11454,5109,741,439,729,60.2,474,12,14700,18446,79.7,292992,96357
La Liga,18-19,Sevilla,69.16,46.71,65.08,5782,1501,26,1859,2623,1300,52.2,22894,7245,10841,6249,1084,416,675,61.6,449,15,14612,18654,78.3,285396,100487
La Liga,18-19,Valencia,61.88,42.85,65.16,6489,1598,24.6,2042,3074,1373,47.1,21921,7012,10554,5707,936,395,652,60.6,419,20,13821,17600,78.5,276786,100037
La Liga,18-19,Valladolid,41.64,57.65,41.8,6282,1576,25.1,2337,2951,994,47,20496,7016,9784,4972,667,357,539,66.2,379,15,12161,16196,75.1,246519,87905
La Liga,18-19,Villarreal,54.8,56.12,52.18,6524,1515,23.2,2117,3152,1255,48.3,21874,6921,10838,5494,923,443,720,61.5,477,27,13853,17509,79.1,280991,99711
La Liga,17-18,Alavés,37.88,58.2,39.03,6255,1547,24.7,2197,2904,1154,39.8,17926,6338,8387,4213,625,362,591,61.3,404,28,9509,13606,69.9,194777,80853
La Liga,17-18,Athletic Club,51.79,50.71,54.13,6774,1866,27.5,1902,3255,1617,49.7,21393,6471,10581,5736,843,315,579,54.4,354,33,12929,17255,74.9,277961,100054
La Liga,17-18,Atlético Madrid,50.29,35.48,61.6,6564,1874,28.5,2206,2985,1373,47.3,22815,7126,11205,5920,844,381,658,57.9,430,26,14339,18379,78,265629,95471
La Liga,17-18,Barcelona,90.49,41.62,79.44,6079,1759,28.9,1724,2788,1567,63.1,29177,7891,14432,8954,1390,600,987,60.8,662,41,21664,25134,86.2,396921,122484
La Liga,17-18,Betis,46.72,49.76,50.51,5365,1444,26.9,1733,2544,1088,57.7,25191,8352,12818,5701,682,373,573,65.1,396,22,17551,21171,82.9,343319,105508
La Liga,17-18,Celta Vigo,54.59,57.68,48.83,5463,1618,29.6,1861,2477,1125,56.1,24778,8267,12577,5610,820,358,586,61.1,390,20,16787,20793,80.7,335823,106317
La Liga,17-18,Eibar,41.42,45.53,50.79,6190,1956,31.6,1410,2856,1924,52.4,21986,5387,11118,6763,828,330,557,59.2,366,19,12667,17800,71.2,281297,99064
La Liga,17-18,Espanyol,41.58,53.37,44.68,6202,1660,26.8,1968,2940,1294,46.8,21172,7263,10282,4848,672,355,568,62.5,389,27,12581,17009,74,250370,89509
La Liga,17-18,Getafe,49.03,39.65,57.53,6501,1679,25.8,2059,3117,1325,39.4,17274,5677,7674,4837,672,317,566,56,346,24,8543,13130,65.1,182484,79575
La Liga,17-18,Girona,52.1,51.6,53.03,6170,1659,26.9,1823,3036,1311,46.8,19785,6463,9639,4909,739,331,571,58,368,21,11642,15768,73.8,249892,88601
La Liga,17-18,La Coruña,49.78,60.87,49.16,6300,1629,25.9,2256,2768,1276,46.6,20803,6823,9760,5482,793,367,555,66.1,390,11,12495,16654,75,251741,91337
La Liga,17-18,Las Palmas,37.88,74.43,31.05,5376,1542,28.7,1688,2537,1151,55.1,23464,7843,11744,5488,698,415,630,65.9,444,23,15464,19316,80.1,290501,100477
La Liga,17-18,Leganés,39.26,48.77,44.58,6608,1924,29.1,2026,3188,1394,42.5,18894,6496,8746,4705,646,375,613,61.2,406,22,10262,14694,69.8,206918,84544
La Liga,17-18,Levante,44.2,65.12,41.82,5983,1526,25.5,2062,2735,1186,42.5,18704,6368,8458,5072,742,381,631,60.4,412,30,10603,14519,73,217349,87466
La Liga,17-18,Málaga,35.88,60.24,35.83,6693,1721,25.7,2164,3166,1363,44,19810,6487,9485,4915,633,327,534,61.2,351,16,11306,15652,72.2,230992,90417
La Liga,17-18,Real Madrid,91.29,45.1,79.99,5990,1712,28.6,1820,2733,1437,60.5,27795,7179,13643,8885,1388,433,655,66.1,459,12,20437,23902,85.5,381823,119663
La Liga,17-18,Real Sociedad,56.35,51.13,55.84,5782,1590,27.5,1747,2675,1360,56.8,24504,8009,11740,6590,920,325,559,58.1,354,17,16684,20463,81.5,333953,106359
La Liga,17-18,Sevilla,61.49,54.03,58.61,5809,1642,28.3,1847,2700,1262,54.5,24384,7420,12046,6467,1037,383,593,64.6,415,21,16014,20176,79.4,301534,108388
La Liga,17-18,Valencia,57.76,47.89,58.23,6333,1604,25.3,2164,2841,1328,48.9,22122,7215,10858,5474,852,436,685,63.6,473,25,13926,17596,79.1,280942,97873
La Liga,17-18,Villarreal,55.67,54.24,54.96,5320,1399,26.3,1669,2503,1148,50.5,22773,7590,11508,5181,774,298,503,59.2,329,14,14753,18568,79.5,289536,101295
